26-06-14 14:49:50.548 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final 
26-06-14 14:49:50.597 [main] INFO  c.n.O.OrderSystemApplication - Starting OrderSystemApplication using Java 17.0.19 with PID 32706 (/home/priyanshu-rathi/Desktop/orderSystem/userService/target/classes started by priyanshu-rathi in /home/priyanshu-rathi/Desktop/orderSystem/userService) 
26-06-14 14:49:50.598 [main] INFO  c.n.O.OrderSystemApplication - No active profile set, falling back to 1 default profile: "default" 
26-06-14 14:49:51.218 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-06-14 14:49:51.329 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 104 ms. Found 1 MongoDB repository interface. 
26-06-14 14:49:51.539 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=58bb0bc1-85cb-34ba-b794-2e908c0fb5e1 
26-06-14 14:49:51.784 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http) 
26-06-14 14:49:51.793 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
26-06-14 14:49:51.795 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
26-06-14 14:49:51.795 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54] 
26-06-14 14:49:51.838 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
26-06-14 14:49:51.839 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1206 ms 
26-06-14 14:49:52.049 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "orderSystem"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.17.0-35-generic"}, "platform": "Java/Ubuntu/17.0.19+10-1-24.04.2-Ubuntu"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='rathipreet28', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3f0ce0d1, com.mongodb.Jep395RecordCodecProvider@664db2ca, com.mongodb.KotlinCodecProvider@1491cd6c]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=ordersystem.helnuuf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-zs5fgq-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='orderSystem', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
26-06-14 14:49:52.174 [cluster-ClusterId{value='6a2e7237d20ebe5f8cf1eb07', description='orderSystem'}-srv-ordersystem.helnuuf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-mjuisua-shard-00-00.helnuuf.mongodb.net:27017 to client view of cluster 
26-06-14 14:49:52.192 [cluster-ClusterId{value='6a2e7237d20ebe5f8cf1eb07', description='orderSystem'}-srv-ordersystem.helnuuf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-mjuisua-shard-00-01.helnuuf.mongodb.net:27017 to client view of cluster 
26-06-14 14:49:52.194 [cluster-ClusterId{value='6a2e7237d20ebe5f8cf1eb07', description='orderSystem'}-srv-ordersystem.helnuuf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-mjuisua-shard-00-02.helnuuf.mongodb.net:27017 to client view of cluster 
26-06-14 14:49:52.257 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29992 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-mjuisua-shard-00-00.helnuuf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-mjuisua-shard-00-01.helnuuf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-mjuisua-shard-00-02.helnuuf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
